"Advanced Reviews by Aheadworks","Advanced Reviews by Aheadworks"
"Reviews","Reviews"
"Customer Reviews","Customer Reviews"
"Submit Review","Submit Review"
"Review","Review"
"You're reviewing:","You're reviewing:"
"Your Rating","Your Rating"
"Nickname","Nickname"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Something went wrong while submitting the review.","Something went wrong while submitting the review."
"You submitted your review for moderation.","You submitted your review for moderation."
"Could not save review. %1","Could not save review. %1"
"Not specified","Not specified"
"Write a Review","Write a Review"
"Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write a review.","Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write a review."
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"No reviews here yet. Be the first to write one!","No reviews here yet. Be the first to write one!"
"No reviews here yet. Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write the first one!","No reviews here yet. Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write the first one!"
"Reviews %1","Reviews %1"
"My Product Reviews","My Product Reviews"
"Created","Created"
"You have submitted no reviews.","You have submitted no reviews."
"Product Name","Product Name"
"Rating","Rating"
"Summary","Summary"
"Status","Status"
"My Recent Reviews","My Recent Reviews"
"View All","View All"
"Sort by","Sort by"
"Newest","Newest"
"Do you recommend this product?","Do you recommend this product?"
"I recommend<br /> this product","I recommend<br /> this product"
"I don\'t recommend<br /> this product","I don\'t recommend<br /> this product"
"of customers<br/> recommend this product","of customers<br/> recommend this product"
"Verified Buyer","Verified Buyer"
"Yes","Yes"
"No","No"
"Set verified buyer badge","Set verified buyer badge"
"I recommend this product","I recommend this product"
"I don\'t recommend this product","I don\'t recommend this product"
"Helpfulness","Helpfulness"
"%1 out of %2 stars","%1 out of %2 stars"
"The review was successfully deleted.","The review was successfully deleted."
"Something went wrong while deleting the review.","Something went wrong while deleting the review."
"We can\'t rebuild the index for an undefined entity.","We can\'t rebuild the index for an undefined entity."
"Bad value was supplied.","Bad value was supplied."
"Created At can\'t be empty.","Created At can\'t be empty."
