Manage Manifests,Direction des Manifestes
Can't find manifest.,Impossible de trouver un manifeste.
Something went wrong while printing manifest.,S'est produite une erreur lors de l'impression manifeste.
View Manifest,Voir Manifeste
Processed manifest ids: ,Manifeste des ids traitée
Manifest id: %1. Error Msg: %2,Manifeste id: %1. Erreur Msg: %2
The shipping module is not available.,Le module d'expédition n'est pas disponible.
This shipping method is not available. Please specify the zip code.,Cette méthode d'expédition n'est pas disponible. Veuillez spécifier le code postal.
Est. Delivery %1,Date prévue %1
"Unable to create new shipping label, because Canada Post's shipment already created (id: %1).","Impossible de créer une nouvelle étiquette d'expédition, car l'envoi de Postes Canada déjà créé (id:% 1)."
Something went wrong while getting manifest group id.,S'est produite une erreur lors à obtenir l'identité du groupe manifeste.
Something went wrong while creating shipment.,S'est produite une erreur lors de la création de l'expédition.
Regular Parcel,Colis régulier
Expedited Parcel,Colis accéléré
Xpresspost,Xpresspost
Xpresspost Certified,Xpresspost Certifié
Priority,Priorité
Delivered Tonight,Livré ce soir
Library Materials,Matériel de bibliothèque
Expedited Parcel USA,Colis accéléré USA
Priority Worldwide Envelope USA,Priorité de mondiale enveloppe USA
Priority Worldwide pak USA,Priorité de mondiale pak USA
Priority Worldwide Parcel USA,Priorité de mondiale colis USA
Small Packet USA Air,Le petit paquet USA air
"Tracked Packet – USA","Paquet de suivi – USA"
"Tracked Packet – USA (LVM)","Paquet de suivi – USA (LVM)"
Xpresspost USA,Xpresspost USA
Xpresspost International,Xpresspost International
International Parcel Air,International Colis Air
International Parcel Surface,International Colis Surface
"Priority Worldwide Envelope Int’l","Priorité de mondiale enveloppe Int’l"
"Priority Worldwide pak Int’l","Priorité de mondiale pak Int’l"
"Priority Worldwide parcel Int’l","Priorité de mondiale colis Int’l"
Small Packet International Air,Le petit paquet International Air
Small Packet International Surface,Le petit paquet International Surface
Tracked Packet – International,Paquet de suivi â€“ International
Documents and Parcels,Documents et Colis
status,statut
Empty response,Vide Réponse
"Invalid response from carrier","Erroné Réponse d'un Сourrier"
For some reason we can't retrieve tracking info right now.,"Pour une raison quelconque, nous ne pouvons pas récupérer les informations de suivi en ce moment."
None,Aucun
English,Anglais
French,Français
"Return at Sender’s Expense","Retourner à L'expéditeur Dépense"
"Return to Sender","Retourner à l'expéditeur"
Abandon,Abandonner
Upon shipment of the parcel,Sur l'expédition du colis
On exceptions,Sur les exceptions
Upon delivery of the parcel,À la livraison du colis
4x6 thermal,4x6 thermique
8.5x11 paper,8.5x11 papier
Commercial,Commercial
Counter,Compteur
Document,Document
Commercial sample,Commercial Échantillon
Repair or warranty,Réparation ou garantie
Sale of goods,Vente de 	produits
Other,Autre
COD,COD
Proof of Age Required - 18,Preuve d'âge requise - 18
Proof of Age Required - 19,Preuve d'âge requise - 19
Card for pickup,Carte pour pick-up
Do not safe drop,Ne pas sécurité de laisser tomber
Leave at door - do not card,Laisse à la porte - ne carte
Choose Canada Post Manifest,Choisir Manifeste de Postes Canada
Create New Canada Post Manifest,Créer un Nouveau Manifeste de Postes Canada
 by,par
Your feedback for ,Vos commentaires pour
is highly appreciated.,est très apprécié.
Found an issue? Need help? Got custom request? Please ,Trouvé un problème? Besoin d'aide pour? Avoir reçu client demande? S'il vous plaît
Contact us,Contactez nous
You can check more extensions designed by our team in our ,Vous pouvez vérifier plus d'extensions créé par notre équipe dans notre
Store,Magasin
Field ,Le champ
 is required., est requis.
Sales,Soldes
Operations,Opérations
Manifests,Manifestes
